STT,Quan huyen,Ten truong,Vido,Kinhdo
1,Quận 1,THPT Bùi Thị Xuân,"10,769293","106,68808"
2,Quận 1,THPT Châu Á Thái Bình Dương,"10,789213","106,702423"
3,Quận 1,THPT Chuyên Trần Đại Nghĩa,"10,779301","106,701252"
4,Quận 1,THCS và THPT Đăng Khoa,"10,765765","106,69612"
5,Quận 1,THPT Lương Thế Vinh,"10,763404","106,693895"
6,Quận 1,THPT Năng Khiếu TDTT,"10,791206","106,698565"
7,Quận 1,"TH, THCS & THPT Quốc tế Á Châu","10,793511","106,689676"
8,Quận 2,Song Ngữ Quốc Tế Horizon,"10,806061","106,729374"
9,Quận 1,THPT Ten Lơ Man,"10,768986","106,695581"
10,Quận 1,THPT Trưng Vương,"10,785279","106,706954"
11,Quận 1,TH - THCS - THPT Úc Châu,"10,790756","106,697856"
12,Quận Phú Nhuận,TH - THCS - THPT Việt Úc,"10,797115","106,692414"
13,Quận 2,THPT Thủ Thiêm,"10,797393","106,743911"
14,Quận 2,THPT Giồng Ông Tố,"10,785929","106,755347"
15,Quận 2,Trường Quốc tế Úc,"10,78966","106,750476"
16,Quận 2,Trường Quốc tế dạy bằng tiếng Anh,"10,809027","106,732492"
17,Quận 2,Trường Quốc tế Châu Âu,"10,805585","106,734591"
18,Quận 2,Trường Quốc tế Đức Thành phố Hồ Chí Minh,"10,804913","106,747417"
19,Quận 2,Trường Quốc tế Thành phố Hồ Chí Minh,"10,810078","106,730499"
20,Quận 2,TAS INTERNATIONAL SCHOOL,"10,794615","106,763871"
21,Quận 3,THPT Nguyễn Bỉnh Khiêm,"10,787092","106,684544"
22,Quận 3,THPT Nguyễn Thị Diệu,"10,789326","106,68898"
23,Quận 3,THPT Nguyễn Thị Minh Khai,"10,778993","106,687262"
24,Quận 3,THPT Marie Curie,"10,782437","106,690812"
25,Quận 3,THPT Lê Quí Đôn,"10,779533","106,694223"
26,Quận 3,THPT Lê Thị Hồng Gấm,"10,784293","106,691284"
27,Quận 3,TiH - THCS - THPT Tây Úc,"10,783944","106,684425"
28,Quận 4,THPT Nguyễn Hữu Thọ,"10,767331","106,704689"
