Trường_ID,Dự_báo_PM25,Risk_S1 (Bình thường),Risk_S2 (Nhạy cảm),Cấp_độ,Lệnh_Hành_Động
1,25.85,96.94,145.42,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
2,26.77,100.38,150.58,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
3,26.24,98.41,147.61,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
4,26.18,98.16,147.24,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
5,26.25,98.43,147.65,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
6,26.74,100.27,150.4,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
7,26.78,100.43,150.64,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
8,27.9,104.61,156.92,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
9,26.02,97.56,146.34,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
10,26.79,100.45,150.67,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
11,26.68,100.05,150.07,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
12,27.04,101.38,152.07,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
13,27.68,103.82,155.73,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
14,27.57,103.38,155.06,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
15,27.59,103.48,155.22,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
16,27.9,104.62,156.94,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
17,27.84,104.41,156.61,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
18,27.74,104.02,156.03,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
19,27.93,104.74,157.11,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
20,27.62,103.58,155.37,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
21,26.38,98.93,148.4,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
22,26.43,99.1,148.65,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
23,25.63,96.12,144.17,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
24,25.84,96.92,145.37,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
25,25.83,96.88,145.32,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
26,25.99,97.45,146.18,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
27,26.08,97.81,146.72,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
28,26.45,99.19,148.78,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
29,26.82,100.56,150.85,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
30,27.95,104.8,157.2,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
31,27.66,103.71,155.57,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
32,27.98,104.93,157.39,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
33,26.52,99.47,149.2,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
34,27.83,104.37,156.56,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
35,27.81,104.29,156.43,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
36,27.8,104.27,156.4,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
37,26.66,99.98,149.96,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
38,26.82,100.59,150.89,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
39,27.72,103.97,155.95,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
40,28.05,105.17,157.76,MỨC 2 (VÀNG),Cách ly cục bộ: Di tản nhóm học sinh nhạy cảm (S2) vào lớp nghỉ ngơi.
